,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
39,39,2002-05-08,2002.0,5.0,19.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,12.0,-0.0,0.0,4.0,6.0,0.0,-0.0,-0.0,0.0,10.0,19.0,7.0,6
40,40,2002-05-09,2002.0,5.0,19.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,12.0,-0.0,-0.0,6.0,8.0,-0.0,0.0,-0.0,0.0,13.0,9.0,6.0,6
41,41,2002-05-10,2002.0,5.0,19.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,8.0,-0.0,-0.0,7.0,7.0,-0.0,-0.0,-0.0,0.0,12.0,9.0,6.0,6
42,42,2002-05-11,2002.0,5.0,19.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,12.0,-0.0,0.0,3.0,7.0,0.0,-0.0,0.0,-0.0,16.0,2.0,6.0,6
43,43,2002-05-12,2002.0,5.0,19.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,6.0,-0.0,-0.0,6.0,5.0,-0.0,-0.0,-0.0,0.0,14.0,10.0,7.0,6
42,42,2002-05-11,2002.0,5.0,19.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,12.0,-0.0,0.0,3.0,7.0,0.0,-0.0,0.0,-0.0,16.0,2.0,6.0,7
43,43,2002-05-12,2002.0,5.0,19.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,6.0,-0.0,-0.0,6.0,5.0,-0.0,-0.0,-0.0,0.0,14.0,10.0,7.0,7
44,44,2002-05-13,2002.0,5.0,20.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,14.0,-0.0,-0.0,5.0,8.0,-0.0,0.0,-0.0,0.0,12.0,10.0,8.0,7
45,45,2002-05-14,2002.0,5.0,20.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218813,10.0,-0.0,-0.0,7.0,7.0,-0.0,-0.0,0.0,-0.0,6.0,7.0,8.0,7
46,46,2002-05-15,2002.0,5.0,20.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,11.0,0.0,0.0,5.0,7.0,-0.0,0.0,-0.0,0.0,11.0,9.0,8.0,7
