,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
130,2000-02-22,Clear,0.2682926829268293,0.0,0.0,0.30208333333333337,0.3208955223880601,0.0,0.0,22.0,0.0,0.0,0.1,0.4,2000.0,2.0,8.0,22.0,10.0,0.0,0.0,1.0,0.0,5.0
132,2000-06-11,Haze,0.6463414634146343,0.0,0.0,0.40972222222222227,0.1803482587064682,0.0,0.0,35.0,0.0,0.0,0.05416666666666667,0.21306306306306308,2000.0,6.0,23.0,11.0,12.5,0.0,0.0,1.0,0.0,9.0
133,2000-06-12,Haze,0.6097560975609757,0.0,0.0,0.3854166666666667,0.17462686567164223,0.0,0.0,34.2,0.0,0.0,0.03966666666666666,0.40054054054054056,2000.0,6.0,24.0,12.0,12.2,0.0,0.0,1.0,0.0,9.0
134,2000-06-13,Haze,0.6682926829268293,0.0,0.0,0.5020833333333334,0.1716417910447765,0.0,0.0,32.4,0.0,0.0,0.03966666666666667,0.21081081081081082,2000.0,6.0,24.0,13.0,13.0,0.0,0.0,1.0,0.0,8.0
135,2000-06-14,Partly Cloudy,0.6666666666666666,0.0,0.0,0.3420138888888889,0.16169154228855742,0.0,0.0,38.5,0.0,0.0,0.034999999999999996,0.17567567567567569,2000.0,6.0,24.0,14.0,12.5,0.0,0.0,1.0,0.0,10.0
136,2000-06-15,Haze,0.6585365853658537,0.0,0.0,0.3784722222222223,0.1641791044776122,0.0,0.0,36.333333333333336,0.0,0.0,0.03777777777777778,0.21711711711711712,2000.0,6.0,24.0,15.0,14.0,0.0,0.0,1.0,0.0,9.0
139,2000-06-16,Clear,0.7073170731707318,0.0,0.0,0.46875000000000006,0.16604477611940327,0.0,0.0,35.25,0.0,0.0,0.041666666666666664,0.46283783783783783,2000.0,6.0,24.0,16.0,11.5,0.0,0.0,1.0,0.0,9.0
141,2000-06-17,Unknown,0.7378048780487806,0.0,0.0,0.49218750000000006,0.16231343283582111,0.0,0.0,35.75,0.0,0.0,0.030000000000000002,0.325,2000.0,6.0,24.0,17.0,13.5,0.0,0.0,1.0,0.0,9.0
143,2000-06-18,Partly Cloudy,0.6829268292682927,0.0,0.0,0.43750000000000006,0.16977611940298543,0.0,0.0,35.25,0.0,0.0,0.028333333333333335,0.5878378378378378,2000.0,6.0,24.0,18.0,13.5,0.0,0.0,1.0,0.0,9.0
145,2000-06-19,Haze,0.702439024390244,0.0,0.0,0.48125000000000007,0.17761194029850796,0.0,0.0,34.6,0.0,0.0,0.04699999999999999,0.4600000000000001,2000.0,6.0,25.0,19.0,12.4,0.0,0.0,1.0,0.0,9.0
146,2000-06-20,Haze,0.6780487804878049,0.0,0.0,0.4833333333333334,0.18507462686567228,0.0,0.0,33.4,0.0,0.0,0.056666666666666664,0.4,2000.0,6.0,25.0,20.0,12.2,0.0,0.0,1.0,0.0,8.0
147,2000-06-21,Haze,0.6422764227642278,0.0,0.0,0.3385416666666667,0.16791044776119435,0.0,0.0,38.0,0.0,0.0,0.051388888888888894,0.3504504504504505,2000.0,6.0,25.0,21.0,12.5,0.0,0.0,1.0,0.0,10.0
148,2000-06-22,Haze,0.5772357723577236,0.0,0.0,0.451388888888889,0.18159203980099559,0.0,0.0,30.0,0.0,0.0,0.02777777777777778,0.3666666666666667,2000.0,6.0,25.0,22.0,13.0,0.0,0.0,1.0,0.0,7.0
151,2000-06-23,Haze,0.6219512195121952,0.0,0.0,0.4765625,0.1884328358208962,0.0,0.0,31.25,0.0,0.0,0.052083333333333336,0.13851351351351354,2000.0,6.0,25.0,23.0,13.0,0.0,0.0,1.0,0.0,8.0
152,2000-06-25,Clear,0.6341463414634146,0.0,0.0,0.41666666666666674,0.1716417910447765,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.2,2000.0,6.0,25.0,25.0,15.0,0.0,0.0,1.0,0.0,9.0
156,2000-06-26,Unknown,0.6585365853658537,0.0,0.0,0.44270833333333337,0.17537313432835866,0.0,0.0,34.0,0.0,0.0,0.018333333333333333,0.0,2000.0,6.0,26.0,26.0,14.5,0.0,0.0,1.0,0.0,9.0
158,2000-06-27,Clear,0.5853658536585367,0.0,0.0,0.2916666666666667,0.1716417910447765,0.0,0.0,37.0,0.0,0.0,0.03333333333333333,0.2,2000.0,6.0,26.0,27.0,12.0,0.0,0.0,1.0,0.0,10.0
162,2000-06-28,Haze,0.6585365853658537,0.0,0.0,0.5,0.19402985074626944,0.0,0.0,32.0,0.0,0.0,0.04666666666666666,0.0,2000.0,6.0,26.0,28.0,15.0,0.0,0.0,1.0,0.0,8.0
165,2000-06-29,Haze,0.5853658536585367,0.0,0.0,0.5052083333333335,0.19402985074626944,0.0,0.0,28.5,0.0,0.0,0.04583333333333334,0.6,2000.0,6.0,26.0,29.0,13.5,0.0,0.0,1.0,0.0,7.0
167,2000-06-30,Haze,0.7317073170731708,0.0,0.0,0.6541666666666668,0.18805970149253798,0.0,0.0,30.8,0.0,0.0,0.042666666666666665,0.02,2000.0,6.0,26.0,30.0,12.0,0.0,0.0,1.0,0.0,7.0
168,2000-07-01,Haze,0.6585365853658537,0.0,0.0,0.46527777777777785,0.1890547263681599,0.0,0.0,33.166666666666664,0.0,0.0,0.049999999999999996,0.31711711711711715,2000.0,7.0,26.0,1.0,12.5,0.0,0.0,1.0,0.0,8.0
169,2000-07-02,Haze,0.6626016260162603,0.0,0.0,0.6180555555555557,0.18656716417910513,0.0,0.0,28.833333333333332,0.0,0.0,0.04305555555555555,0.15045045045045047,2000.0,7.0,26.0,2.0,12.5,0.0,0.0,1.0,0.0,7.0
170,2000-07-03,Haze,0.6463414634146343,0.0,0.0,0.42361111111111116,0.18407960199005036,0.0,0.0,34.166666666666664,0.0,0.0,0.05416666666666666,0.18423423423423424,2000.0,7.0,27.0,3.0,12.5,0.0,0.0,1.0,0.0,9.0
171,2000-07-04,Haze,0.6422764227642277,0.0,0.0,0.40104166666666674,0.18283582089552297,0.0,0.0,34.833333333333336,0.0,0.0,0.06666666666666667,0.11756756756756757,2000.0,7.0,27.0,4.0,12.5,0.0,0.0,1.0,0.0,9.0
172,2000-07-05,Haze,0.6666666666666666,0.0,0.0,0.37847222222222227,0.1716417910447765,0.0,0.0,37.0,0.0,0.0,0.06597222222222222,0.10833333333333334,2000.0,7.0,27.0,5.0,12.5,0.0,0.0,1.0,0.0,10.0
