datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
2003-01-22,Shallow Fog,0.34146341463414637,1.0,0.0,0.8125,0.2910447761194037,0.0,0.0,11.0,0.0,0.0,0.013333333333333334,0.0,2003.0,1.0,4.0,22.0,19.0,0.0,0.0,0.0,1.0,4,17,15,2,1,1.0
2003-01-23,Fog,0.3902439024390244,1.0,0.0,0.7604166666666666,0.27238805970149294,0.0,0.0,14.0,0.0,0.0,0.006666666666666667,0.0,2003.0,1.0,4.0,23.0,18.5,0.0,0.0,0.0,1.0,6,16,13,0,1,2.0
2003-01-24,Clear,0.34146341463414637,0.0,0.0,0.8125,0.2761194029850751,0.0,0.0,11.0,0.0,0.0,0.016666666666666666,0.0,2003.0,1.0,4.0,24.0,19.0,0.0,0.0,0.0,1.0,4,17,13,3,1,1.0
2003-01-25,Smoke,0.36585365853658536,0.0,0.0,0.65625,0.30597014925373145,0.0,0.0,15.0,0.0,0.0,0.015416666666666669,0.05,2003.0,1.0,4.0,25.0,17.5,0.0,0.0,0.0,1.0,5,14,16,3,2,2.0
2003-01-26,Smoke,0.4207317073170732,0.0,0.0,0.6640625000000001,0.30597014925373145,0.0,0.0,17.25,0.0,0.0,0.017083333333333332,0.0,2003.0,1.0,4.0,26.0,17.5,0.0,0.0,0.0,1.0,7,14,16,3,1,3.0
2003-01-27,Smoke,0.48780487804878053,0.0,0.0,0.84375,0.30410447761194037,0.0,0.0,16.5,0.0,0.0,0.025,0.16283783783783784,2003.0,1.0,5.0,27.0,17.5,0.0,0.0,0.0,1.0,9,18,16,6,6,3.0
2003-01-28,Haze,0.475609756097561,0.0,0.0,0.90625,0.3208955223880601,0.0,0.0,15.0,0.0,0.0,0.03833333333333333,0.15000000000000002,2003.0,1.0,5.0,28.0,16.5,0.0,0.0,0.0,1.0,9,19,18,10,6,2.0
2003-01-29,Shallow Fog,0.524390243902439,1.0,0.0,0.921875,0.31529850746268684,0.0,0.0,16.75,0.0,0.0,0.012083333333333335,0.0,2003.0,1.0,5.0,29.0,17.5,0.0,0.0,0.0,1.0,11,19,17,2,1,3.0
2003-01-30,Drizzle,0.451219512195122,0.0,0.0,0.8177083333333333,0.2947761194029854,0.0,0.0,15.5,0.0,0.0,0.04833333333333333,0.2756756756756757,2003.0,1.0,5.0,30.0,17.5,0.0,0.0,0.0,1.0,8,18,15,13,10,2.0
2003-01-31,Drizzle,0.48780487804878053,0.0,0.0,0.9999999999999999,0.2910447761194037,0.0,0.0,14.0,0.0,0.0,0.013333333333333334,0.17567567567567569,2003.0,1.0,5.0,31.0,16.5,0.0,0.0,0.0,1.0,9,19,15,2,7,2.0
2003-02-01,Partly Cloudy,0.4634146341463415,0.0,0.0,0.9375,0.35074626865671643,0.0,0.0,14.0,0.0,0.0,0.02333333333333333,0.2513513513513514,2003.0,2.0,5.0,1.0,18.0,0.0,0.0,0.0,1.0,9,19,19,5,9,2.0
2003-02-02,Fog,0.41463414634146345,1.0,0.0,0.9999999999999999,0.35074626865671643,0.0,0.0,11.0,0.0,0.0,0.011666666666666667,0.1756756756756757,2003.0,2.0,5.0,2.0,18.5,0.0,0.0,0.0,1.0,7,19,19,2,7,1.0
2003-02-03,Clear,0.38414634146341464,0.0,0.0,0.84375,0.3339552238805976,0.0,0.0,12.25,0.0,0.0,0.025416666666666667,0.05,2003.0,2.0,6.0,3.0,17.5,0.0,0.0,0.0,1.0,6,18,19,6,2,1.0
2003-02-04,Clear,0.4085365853658537,0.0,0.0,0.875,0.3358208955223887,0.0,0.0,12.75,0.0,0.0,0.022083333333333337,0.0,2003.0,2.0,6.0,4.0,17.5,0.0,0.0,0.0,1.0,7,19,19,5,1,1.0
2003-02-05,Clear,0.41463414634146345,0.0,0.0,0.875,0.3208955223880601,0.0,0.0,13.0,0.0,0.0,0.016666666666666666,0.0,2003.0,2.0,6.0,5.0,17.0,0.0,0.0,0.0,1.0,7,19,18,3,1,2.0
2003-02-06,Smoke,0.4207317073170732,0.0,0.0,0.7369791666666666,0.2966417910447763,0.0,0.0,15.75,0.0,0.0,0.019583333333333335,0.10067567567567567,2003.0,2.0,6.0,6.0,17.5,0.0,0.0,0.0,1.0,7,16,15,4,4,2.0
2003-02-07,Clear,0.48780487804878053,0.0,0.0,0.7951388888888888,0.2835820895522394,0.0,0.0,17.333333333333332,0.0,0.0,0.017777777777777778,0.15135135135135136,2003.0,2.0,6.0,7.0,17.0,0.0,0.0,0.0,1.0,9,17,14,3,6,3.0
2003-02-08,Partly Cloudy,0.46951219512195125,0.0,0.0,0.7890625,0.2854477611940305,0.0,0.0,16.75,0.0,0.0,0.02291666666666667,0.1635135135135135,2003.0,2.0,6.0,8.0,17.5,0.0,0.0,0.0,1.0,9,17,14,5,6,3.0
2003-02-09,Smoke,0.32926829268292684,0.0,0.0,0.6692708333333334,0.29850746268656714,0.0,0.0,13.25,0.0,0.0,0.025416666666666664,0.0,2003.0,2.0,6.0,9.0,17.5,0.0,0.0,0.0,1.0,4,14,16,6,1,2.0
2003-02-10,Haze,0.3292682926829269,0.0,0.0,0.625,0.30597014925373145,0.0,0.0,14.25,0.0,0.0,0.03208333333333333,0.0,2003.0,2.0,7.0,10.0,17.5,0.0,0.0,0.0,1.0,4,13,16,8,1,2.0
2003-02-11,Clear,0.34146341463414637,0.0,0.0,0.7604166666666666,0.31343283582089576,0.0,0.0,12.0,0.0,0.0,0.018333333333333333,0.0,2003.0,2.0,7.0,11.0,19.0,0.0,0.0,0.0,1.0,4,16,17,4,1,1.0
2003-02-12,Clear,0.4207317073170732,0.0,0.0,0.84375,0.3022388059701493,0.0,0.0,13.75,0.0,0.0,0.019166666666666665,0.07567567567567568,2003.0,2.0,7.0,12.0,17.5,0.0,0.0,0.0,1.0,7,18,16,4,3,2.0
2003-02-13,Smoke,0.4024390243902439,0.0,0.0,0.7109375,0.2966417910447763,0.0,0.0,15.5,0.0,0.0,0.0275,0.0,2003.0,2.0,7.0,13.0,17.5,0.0,0.0,0.0,1.0,6,15,15,6,1,2.0
2003-02-14,Haze,0.4390243902439025,0.0,0.0,0.7265625,0.30597014925373145,0.0,0.0,16.75,0.0,0.0,0.03375,0.025,2003.0,2.0,7.0,14.0,17.5,0.0,0.0,0.0,1.0,8,15,16,8,1,3.0
2003-02-15,Smoke,0.4207317073170732,0.0,0.0,0.6041666666666666,0.30597014925373145,0.0,0.0,18.75,0.0,0.0,0.025,0.06283783783783783,2003.0,2.0,7.0,15.0,17.5,0.0,0.0,0.0,1.0,7,12,16,6,3,3.0
2003-02-16,Haze,0.4634146341463415,0.0,0.0,0.6354166666666666,0.29850746268656736,0.0,0.0,19.75,0.0,0.0,0.034166666666666665,0.475,2003.0,2.0,7.0,16.0,17.5,0.0,0.0,0.0,1.0,9,13,16,8,17,4.0
2003-02-17,Haze,0.49390243902439024,0.0,0.0,0.7317708333333334,0.27798507462686617,0.0,0.0,19.0,0.0,0.0,0.03166666666666666,0.5506756756756757,2003.0,2.0,8.0,17.0,17.5,0.0,0.0,0.0,1.0,10,15,13,8,19,4.0
2003-02-18,Smoke,0.5,0.0,0.0,0.8177083333333333,0.23507462686567226,0.0,0.0,17.5,0.0,0.0,0.044583333333333336,0.8625,2003.0,2.0,8.0,18.0,17.5,0.0,0.0,0.0,1.0,10,18,9,11,19,3.0
2003-02-19,Haze,0.36585365853658536,0.0,0.0,0.6770833333333334,0.3097014925373136,0.0,0.0,14.75,0.0,0.0,0.04625,0.21283783783783786,2003.0,2.0,8.0,19.0,17.5,0.0,0.0,0.0,1.0,5,14,17,12,8,2.0
2003-02-20,Haze,0.3719512195121951,0.0,0.0,0.6380208333333334,0.33208955223880654,0.0,0.0,15.75,0.0,0.0,0.050416666666666665,0.2256756756756757,2003.0,2.0,8.0,20.0,17.5,0.0,0.0,0.0,1.0,5,13,19,13,8,2.0
2003-02-21,Haze,0.41463414634146345,0.0,0.0,0.7890624999999999,0.3208955223880601,0.0,0.0,14.5,0.0,0.0,0.05125,0.1635135135135135,2003.0,2.0,8.0,21.0,17.5,0.0,0.0,0.0,1.0,7,17,18,13,6,2.0
2003-02-22,Haze,0.451219512195122,0.0,0.0,0.7135416666666666,0.31343283582089576,0.0,0.0,17.5,0.0,0.0,0.03625,0.0,2003.0,2.0,8.0,22.0,17.5,0.0,0.0,0.0,1.0,8,15,17,9,1,3.0
2003-02-23,Smoke,0.5,0.0,0.0,0.6953125,0.29850746268656714,0.0,0.0,20.0,0.0,0.0,0.021666666666666667,0.12567567567567567,2003.0,2.0,8.0,23.0,17.5,0.0,0.0,0.0,1.0,10,15,16,5,5,4.0
